coords,issue,line,path,split
"[-1257.0, -818.0, -78.0, -290.0]",bbox_extends_outside_image,3,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1338.5, -835.0, -65.0, -256.0]",bbox_out_of_normalized_range,4,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1338.5, -835.0, -65.0, -256.0]",bbox_non_positive_size,4,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1338.5, -835.0, -65.0, -256.0]",bbox_tiny,4,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1338.5, -835.0, -65.0, -256.0]",bbox_extends_outside_image,4,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1424.0, -793.0, -88.0, -308.0]",bbox_out_of_normalized_range,5,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1424.0, -793.0, -88.0, -308.0]",bbox_non_positive_size,5,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1424.0, -793.0, -88.0, -308.0]",bbox_tiny,5,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1424.0, -793.0, -88.0, -308.0]",bbox_extends_outside_image,5,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1508.5, -794.5, -93.0, -299.0]",bbox_out_of_normalized_range,6,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1508.5, -794.5, -93.0, -299.0]",bbox_non_positive_size,6,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1508.5, -794.5, -93.0, -299.0]",bbox_tiny,6,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1508.5, -794.5, -93.0, -299.0]",bbox_extends_outside_image,6,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1591.0, -804.0, -84.0, -250.0]",bbox_out_of_normalized_range,7,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1591.0, -804.0, -84.0, -250.0]",bbox_non_positive_size,7,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1591.0, -804.0, -84.0, -250.0]",bbox_tiny,7,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1591.0, -804.0, -84.0, -250.0]",bbox_extends_outside_image,7,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1667.5, -780.5, -81.0, -309.0]",bbox_out_of_normalized_range,8,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1667.5, -780.5, -81.0, -309.0]",bbox_non_positive_size,8,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1667.5, -780.5, -81.0, -309.0]",bbox_tiny,8,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1667.5, -780.5, -81.0, -309.0]",bbox_extends_outside_image,8,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1746.5, -776.0, -115.0, -274.0]",bbox_out_of_normalized_range,9,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1746.5, -776.0, -115.0, -274.0]",bbox_non_positive_size,9,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1746.5, -776.0, -115.0, -274.0]",bbox_tiny,9,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1746.5, -776.0, -115.0, -274.0]",bbox_extends_outside_image,9,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1826.0, -776.0, -100.0, -256.0]",bbox_out_of_normalized_range,10,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1826.0, -776.0, -100.0, -256.0]",bbox_non_positive_size,10,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1826.0, -776.0, -100.0, -256.0]",bbox_tiny,10,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1826.0, -776.0, -100.0, -256.0]",bbox_extends_outside_image,10,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-939.5, -952.0, -215.0, -178.0]",bbox_out_of_normalized_range,11,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-939.5, -952.0, -215.0, -178.0]",bbox_non_positive_size,11,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-939.5, -952.0, -215.0, -178.0]",bbox_tiny,11,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-939.5, -952.0, -215.0, -178.0]",bbox_extends_outside_image,11,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1075.0, -1005.0, -224.0, -222.0]",bbox_out_of_normalized_range,12,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1075.0, -1005.0, -224.0, -222.0]",bbox_non_positive_size,12,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1075.0, -1005.0, -224.0, -222.0]",bbox_tiny,12,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1075.0, -1005.0, -224.0, -222.0]",bbox_extends_outside_image,12,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1189.0, -1028.5, -128.0, -193.0]",bbox_out_of_normalized_range,13,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1189.0, -1028.5, -128.0, -193.0]",bbox_non_positive_size,13,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1189.0, -1028.5, -128.0, -193.0]",bbox_tiny,13,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1189.0, -1028.5, -128.0, -193.0]",bbox_extends_outside_image,13,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1267.0, -1055.0, -78.0, -184.0]",bbox_out_of_normalized_range,14,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1267.0, -1055.0, -78.0, -184.0]",bbox_non_positive_size,14,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1267.0, -1055.0, -78.0, -184.0]",bbox_tiny,14,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1267.0, -1055.0, -78.0, -184.0]",bbox_extends_outside_image,14,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1340.0, -1036.0, -74.0, -246.0]",bbox_out_of_normalized_range,15,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1340.0, -1036.0, -74.0, -246.0]",bbox_non_positive_size,15,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1340.0, -1036.0, -74.0, -246.0]",bbox_tiny,15,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1340.0, -1036.0, -74.0, -246.0]",bbox_extends_outside_image,15,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1408.5, -1017.5, -57.0, -221.0]",bbox_out_of_normalized_range,16,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1408.5, -1017.5, -57.0, -221.0]",bbox_non_positive_size,16,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1408.5, -1017.5, -57.0, -221.0]",bbox_tiny,16,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1408.5, -1017.5, -57.0, -221.0]",bbox_extends_outside_image,16,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1471.0, -1014.5, -56.0, -215.0]",bbox_out_of_normalized_range,17,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1471.0, -1014.5, -56.0, -215.0]",bbox_non_positive_size,17,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1471.0, -1014.5, -56.0, -215.0]",bbox_tiny,17,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1471.0, -1014.5, -56.0, -215.0]",bbox_extends_outside_image,17,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1514.5, -1022.0, -57.0, -162.0]",bbox_out_of_normalized_range,18,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1514.5, -1022.0, -57.0, -162.0]",bbox_non_positive_size,18,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1514.5, -1022.0, -57.0, -162.0]",bbox_tiny,18,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1514.5, -1022.0, -57.0, -162.0]",bbox_extends_outside_image,18,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1572.0, -1028.0, -78.0, -212.0]",bbox_out_of_normalized_range,19,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1572.0, -1028.0, -78.0, -212.0]",bbox_non_positive_size,19,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1572.0, -1028.0, -78.0, -212.0]",bbox_tiny,19,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1572.0, -1028.0, -78.0, -212.0]",bbox_extends_outside_image,19,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1638.0, -1056.5, -84.0, -255.0]",bbox_out_of_normalized_range,20,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1638.0, -1056.5, -84.0, -255.0]",bbox_non_positive_size,20,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1638.0, -1056.5, -84.0, -255.0]",bbox_tiny,20,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1638.0, -1056.5, -84.0, -255.0]",bbox_extends_outside_image,20,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1722.0, -1053.0, -78.0, -224.0]",bbox_out_of_normalized_range,21,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1722.0, -1053.0, -78.0, -224.0]",bbox_non_positive_size,21,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1722.0, -1053.0, -78.0, -224.0]",bbox_tiny,21,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1722.0, -1053.0, -78.0, -224.0]",bbox_extends_outside_image,21,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1820.0, -1058.0, -150.0, -228.0]",bbox_out_of_normalized_range,22,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1820.0, -1058.0, -150.0, -228.0]",bbox_non_positive_size,22,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1820.0, -1058.0, -150.0, -228.0]",bbox_tiny,22,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1820.0, -1058.0, -150.0, -228.0]",bbox_extends_outside_image,22,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1911.5, -999.0, -215.0, -234.0]",bbox_out_of_normalized_range,23,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1911.5, -999.0, -215.0, -234.0]",bbox_non_positive_size,23,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1911.5, -999.0, -215.0, -234.0]",bbox_tiny,23,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-1911.5, -999.0, -215.0, -234.0]",bbox_extends_outside_image,23,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-2055.5, -967.5, -221.0, -215.0]",bbox_out_of_normalized_range,24,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-2055.5, -967.5, -221.0, -215.0]",bbox_non_positive_size,24,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-2055.5, -967.5, -221.0, -215.0]",bbox_tiny,24,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-2055.5, -967.5, -221.0, -215.0]",bbox_extends_outside_image,24,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\train\pdcnn_perio_3281.tif_0.txt,train
"[-800.5, -632.5, -137.0, -287.0]",bbox_out_of_normalized_range,1,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-800.5, -632.5, -137.0, -287.0]",bbox_non_positive_size,1,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-800.5, -632.5, -137.0, -287.0]",bbox_tiny,1,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-800.5, -632.5, -137.0, -287.0]",bbox_extends_outside_image,1,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-903.5, -654.0, -119.0, -318.0]",bbox_out_of_normalized_range,2,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-903.5, -654.0, -119.0, -318.0]",bbox_non_positive_size,2,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-903.5, -654.0, -119.0, -318.0]",bbox_tiny,2,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-903.5, -654.0, -119.0, -318.0]",bbox_extends_outside_image,2,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1022.5, -698.0, -131.0, -292.0]",bbox_out_of_normalized_range,3,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1022.5, -698.0, -131.0, -292.0]",bbox_non_positive_size,3,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1022.5, -698.0, -131.0, -292.0]",bbox_tiny,3,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1022.5, -698.0, -131.0, -292.0]",bbox_extends_outside_image,3,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1119.0, -724.5, -100.0, -289.0]",bbox_out_of_normalized_range,4,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1119.0, -724.5, -100.0, -289.0]",bbox_non_positive_size,4,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1119.0, -724.5, -100.0, -289.0]",bbox_tiny,4,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1119.0, -724.5, -100.0, -289.0]",bbox_extends_outside_image,4,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1195.0, -734.0, -96.0, -284.0]",bbox_out_of_normalized_range,5,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1195.0, -734.0, -96.0, -284.0]",bbox_non_positive_size,5,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1195.0, -734.0, -96.0, -284.0]",bbox_tiny,5,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1195.0, -734.0, -96.0, -284.0]",bbox_extends_outside_image,5,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1377.0, -749.5, -106.0, -303.0]",bbox_out_of_normalized_range,6,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1377.0, -749.5, -106.0, -303.0]",bbox_non_positive_size,6,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1377.0, -749.5, -106.0, -303.0]",bbox_tiny,6,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1377.0, -749.5, -106.0, -303.0]",bbox_extends_outside_image,6,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1447.5, -782.5, -109.0, -299.0]",bbox_out_of_normalized_range,7,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1447.5, -782.5, -109.0, -299.0]",bbox_non_positive_size,7,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1447.5, -782.5, -109.0, -299.0]",bbox_tiny,7,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1447.5, -782.5, -109.0, -299.0]",bbox_extends_outside_image,7,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1569.0, -776.0, -96.0, -300.0]",bbox_out_of_normalized_range,8,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1569.0, -776.0, -96.0, -300.0]",bbox_non_positive_size,8,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1569.0, -776.0, -96.0, -300.0]",bbox_tiny,8,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1569.0, -776.0, -96.0, -300.0]",bbox_extends_outside_image,8,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1658.0, -768.0, -94.0, -290.0]",bbox_out_of_normalized_range,9,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1658.0, -768.0, -94.0, -290.0]",bbox_non_positive_size,9,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1658.0, -768.0, -94.0, -290.0]",bbox_tiny,9,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1658.0, -768.0, -94.0, -290.0]",bbox_extends_outside_image,9,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1747.0, -714.0, -84.0, -374.0]",bbox_out_of_normalized_range,10,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1747.0, -714.0, -84.0, -374.0]",bbox_non_positive_size,10,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1747.0, -714.0, -84.0, -374.0]",bbox_tiny,10,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1747.0, -714.0, -84.0, -374.0]",bbox_extends_outside_image,10,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1824.5, -740.0, -97.0, -278.0]",bbox_out_of_normalized_range,11,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1824.5, -740.0, -97.0, -278.0]",bbox_non_positive_size,11,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1824.5, -740.0, -97.0, -278.0]",bbox_tiny,11,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1824.5, -740.0, -97.0, -278.0]",bbox_extends_outside_image,11,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
"[-1894.5, -729.0, -93.0, -280.0]",bbox_out_of_normalized_range,12,C:\Pywork\dental\dental\data\detection_pdcnn_bone_loss_v2\labels\val\pdcnn_perio_3140.tif_0.txt,val
